,content_id,title,content_type_id,area_code,latitude,longitude,addr1,addr2
9104,852304,국립생물자원관,14,2,37.5688007354,126.6402462663,인천광역시 서구 환경로 42,(경서동)
9105,3097744,국립세계문자박물관,14,2,37.3947625929,126.6379568656,인천광역시 연수구 센트럴로 217 (송도동),
9108,2768088,남동타워 (청년미디어타워),14,2,37.3985579666,126.7155913531,인천광역시 남동구 논현고잔로 173,(고잔동)
9109,1207259,녹청자박물관,14,2,37.5585049971,126.656383968,인천광역시 서구 도요지로 54 (경서동),
9111,2994530,대불호텔전시관,14,2,37.4736114488,126.6199896528,인천광역시 중구 신포로23번길 101,
9112,2657501,도솔미술관,14,2,37.6419954089,126.5064925675,인천광역시 강화군 길상면 길상로210번길 52-71,
9115,2767579,마샘소래본점,14,2,37.4351654471,126.7506565846,인천광역시 남동구 장아산로174번길 15 (서창동),2층
9119,1997652,부평 기적의도서관,14,2,37.5034323298,126.7401834131,인천광역시 부평구 길주남로 166,(부개동)
9120,130911,부평역사박물관,14,2,37.5121201677,126.7378611598,인천광역시 부평구 굴포로 151,(삼산동)
9121,2465042,삼산도서관,14,2,37.5221579814,126.7430381845,인천광역시 부평구 부평북로 445,(삼산동)
9123,2647918,소래역사관,14,2,37.3982361693,126.7375060322,인천광역시 남동구 아암대로 1605,
9124,2611136,소리체험박물관,14,2,37.5990365555,126.5082602669,인천광역시 강화군 길상면 해안남로474번길 11,
9126,742171,송도컨벤시아,14,2,37.3890356252,126.6461951621,인천광역시 연수구 센트럴로 123,(송도동)
9127,2465132,송도해돋이도서관,14,2,37.3857834511,126.6590274163,인천광역시 연수구 해돋이로 7,
9128,130076,송암미술관,14,2,37.4346135777,126.6412304639,인천광역시 미추홀구 비류대로55번길 68 송암미술관,
9132,2833492,아트플러그 연수,14,2,37.4167547711,126.654263104,인천광역시 연수구 청량로101번길 33,
9133,2804927,애관극장,14,2,37.4724200947,126.6298610077,"인천광역시 중구  개항로 (63-2, 애관극장)",
9135,130516,영종대교휴게소 기념관,14,2,37.5537491271,126.6072746972,인천광역시 서구 정서진남로 25,(경서동)
9136,2638436,영종역사관,14,2,37.48912279,126.5777264136,인천광역시 중구 구읍로 63,
9137,2754479,왕산마리나,14,2,37.4577559204,126.3578140337,인천광역시 중구 왕산마리나길 143,(을왕동)
9138,3003541,월미문화관,14,2,37.4764858311,126.6039104851,인천광역시 중구 월미로 131-22 월미문화관,
9140,864987,인천 검단선사박물관,14,2,37.5944210109,126.6986402152,인천광역시 서구 고산후로121번길 7,
9146,130786,인천 화도진도서관,14,2,37.4818911891,126.6283608811,인천광역시 동구 화도진로 122 화도진도서관,
9148,2779442,인천개항장 근대건축전시관,14,2,37.4729393262,126.6212117826,인천광역시 중구 신포로23번길 77,(중앙동2가)
9149,130785,인천광역시 미추홀도서관,14,2,37.4471219348,126.7248641582,인천광역시 남동구 인주대로776번길 53 인천광역시미추홀도서관,
9155,129773,인천광역시립박물관,14,2,37.4207237343,126.6531380962,인천광역시 연수구 청량로160번길 26,(옥련동)
9157,2768208,인천도시공사검단사업단홍보관,14,2,37.5925241189,126.7048091493,인천광역시 서구 원당대로 929,(원당동)
9158,1851364,인천도시역사관,14,2,37.3928266701,126.6358737757,인천광역시 연수구 인천타워대로 238,
9159,2465032,인천동구청소년수련관,14,2,37.4760504522,126.6425597485,인천광역시 동구 솔빛로 82,(송림동)
9161,130060,인천상륙작전기념관,14,2,37.4195266575,126.6535047631,인천광역시 연수구 청량로 138 인천상륙작전기념관,
9162,130291,인천서구문화회관,14,2,37.5158048243,126.6799218995,인천광역시 서구 서달로 190,(가정동)
9165,2662902,인천어린이과학관,14,2,37.5516350563,126.7400265233,인천광역시 계양구 방축로 21,(방축동)
9169,1054895,인천학생과학관,14,2,37.4906880282,126.5067939592,인천광역시 중구 영종대로277번길 74-10,
9170,1752823,인천학생교육문화회관,14,2,37.4757391504,126.6296831541,인천광역시 중구 자유공원로 12,(인현동)
9171,1617908,인하대학교 박물관,14,2,37.4513923645,126.6514818413,인천광역시 미추홀구 인하로 100,
9172,1617861,인하대학교 정석학술정보관,14,2,37.4513923645,126.6514818413,인천광역시 미추홀구 인하로 100,(용현동)
9173,2850345,잇다스페이스1 갤러리,14,2,37.4724035108,126.6344383681,,
